date_time,city,intensity_drought
2009-11-07,Atakpame,0
2009-11-08,Atakpame,0
2009-11-09,Atakpame,0
2009-11-10,Atakpame,0
2009-11-11,Atakpame,0
2009-11-12,Atakpame,0
2009-11-13,Atakpame,0
2009-11-14,Atakpame,0
2009-11-15,Atakpame,0
2009-11-16,Atakpame,0
2009-11-17,Atakpame,0
2009-11-18,Atakpame,0
2009-11-19,Atakpame,0
2009-11-20,Atakpame,0
2009-11-21,Atakpame,0
2009-11-22,Atakpame,0
2009-11-23,Atakpame,0
2009-11-24,Atakpame,0
2009-11-25,Atakpame,0
2009-11-26,Atakpame,0
2009-11-27,Atakpame,0
2009-11-28,Atakpame,0
2009-11-29,Atakpame,0
2009-11-30,Atakpame,0
2009-12-01,Atakpame,0
2009-12-02,Atakpame,0
2009-12-03,Atakpame,0
2009-12-04,Atakpame,0
2009-12-05,Atakpame,0
2009-12-06,Atakpame,0
2009-12-07,Atakpame,0
2009-12-08,Atakpame,0
2009-12-09,Atakpame,0
2009-12-10,Atakpame,0
2009-12-11,Atakpame,0
2009-12-12,Atakpame,0
2009-12-13,Atakpame,0
2009-12-14,Atakpame,0
2009-12-15,Atakpame,0
2009-12-16,Atakpame,0
2009-12-17,Atakpame,0
2009-12-18,Atakpame,0
2009-12-19,Atakpame,0
2009-12-20,Atakpame,0
2009-12-21,Atakpame,0
2009-12-22,Atakpame,0
2009-12-23,Atakpame,0
2009-12-24,Atakpame,0
2009-12-25,Atakpame,0
2009-12-26,Atakpame,0
2009-12-27,Atakpame,0
2009-12-28,Atakpame,0
2009-12-29,Atakpame,0
2009-12-30,Atakpame,0
2009-12-31,Atakpame,0
2010-01-01,Atakpame,0
2010-01-02,Atakpame,0
2010-01-03,Atakpame,0
2010-01-04,Atakpame,0
2010-01-05,Atakpame,0
2010-01-06,Atakpame,0
2010-01-07,Atakpame,0
2010-01-08,Atakpame,0
2010-01-09,Atakpame,0
2010-01-10,Atakpame,0
2010-01-11,Atakpame,0
2010-01-12,Atakpame,0
2010-01-13,Atakpame,0
2010-01-14,Atakpame,0
2010-01-15,Atakpame,0
2010-01-16,Atakpame,0
2010-01-17,Atakpame,0
2010-01-18,Atakpame,0
2010-01-19,Atakpame,0
2010-01-20,Atakpame,0
2010-01-21,Atakpame,0
2010-01-22,Atakpame,0
2010-01-23,Atakpame,0
2010-01-24,Atakpame,0
2010-01-25,Atakpame,0
2010-01-26,Atakpame,0
2010-01-27,Atakpame,0
2010-01-28,Atakpame,0
2010-01-29,Atakpame,0
2010-01-30,Atakpame,0
2010-01-31,Atakpame,0
